carId,make,image,year,shortDescription,topSpeed,horsePower,rate,mpg,category,availability,video
1,Porsche 918,/images/porsche-918.jpg,2015,The Porsche 918 Spyder is a mid-engine plug-in hybrid sports car manufactured by German automobile manufacturer Porsche.,214,887,2000,22,Hypercar,FALSE,"""http://www.youtube.com/embed/Wo_6X25DXAQ?start=20&end=50&autoplay=1&loop=1"""
2,Ferrari La Ferrari,/images/ferrari-la-ferrari.jpg,2016,"LaFerrari, project name F150 (also unofficially referred to as the Ferrari LaFerrari or Ferrari F150), is a limited production hybrid sports car built by Italian automotive manufacturer Ferrari.",218,949,2000,13,Hypercar,FALSE,"""http://www.youtube.com/embed/k28ANdynLgU?start=58&end=113&autoplay=1&loop=1"""
3,Pagani Huayra,/images/pagani-huayra.jpg,2017,"The Pagani Huayra, it’s the successor to the almighty Pagani Zonda and it’s named after a South American wind god called Huayra Tata. ",210,700,1500,16.8,Supercar,FALSE,"""http://www.youtube.com/embed/3E6P1aQijv8?start=60&end=115&autoplay=1&loop=1"""
4,Bugatti Chiron,/images/bugatti-chiron.jpg,2018,"The Bugatti Chiron is a mid-engine two-seater sports car developed and manufactured in Molsheim, France by French automobile manufacturer Bugatti Automobiles S.A.S..",261,1500,2500,10.6,Supercar,FALSE,"""http://www.youtube.com/embed/uHke3z0Bb-8?start=14&end=47&autoplay=1&loop=1"""
5,Ford GT,/images/ford-gt.jpg,2019,The teardrop shape of the Ford GT is the result of extensive work in the wind tunnel. Its carbon-fiber body and its 647-horsepower 3.5L EcoBoost® V6 engine are the ultimate expressions of technological innovation.,216,647,1250,10.6,Supercar,FALSE,"""http://www.youtube.com/embed/qnIt8vYJoaY?start=90&end=132&autoplay=1&loop=1"""
6,Ferrari 328 GTS,/images/ferrari-328-gts.jpg,1989,"The Ferrari 328 GTB and GTS (Type F106) are mid-engine V8, two seat sports cars produced by Italian automotive manufacturer Ferrari.",166,260,650,14,Supercar,FALSE,"""http://www.youtube.com/embed/YUZnALGSiD0?start=37&end=84&autoplay=1&loop=1"""
7,Ford Mustang Shelby GT350,/images/ford-mustang-shelby-gt350.jpg,2019,"As a track-ready version of the Ford Mustang, the 2019 Shelby GT350 has even more muscular styling and next-level performance.",180,710,500,16,Muscle,FALSE,"""http://www.youtube.com/embed/wdAHyK7n3oA?start=20&end=68&autoplay=1&loop=1"""
8,Lamborghini Gallardo,/images/lamborghini-gallardo.jpg,2009,The Lamborghini Gallardo is a sports car built by the Italian automotive manufacturer Lamborghini from 2003 to 2013.,202,560,800,15,Supercar,FALSE,"""http://www.youtube.com/embed/Qr9KWMhJYac?start=97&end=122&autoplay=1&loop=1"""
9,Lamborghini Aventador,/images/aventador_svj_2018.jpg,2018,The Lamborghini Aventador SVJ represents an upgraded from previous Aventador models. Extensive use of carbon fiber in the aero package improves downforce and reduces drag while a titanium exhaust reduces overall weight. ,217,759,1500,16,Supercar,FALSE,"""https://www.youtube.com/embed/tcoACBAGhW8?start=70&end=102"""
10,Dodge Charger-Hellcat,/images/charger_2020.jpg,2020,The 2020 Dodge Charger is the modern take on an American classic. ,130,707,300,15,Muscle,FALSE,"""https://www.youtube.com/embed/Swo168ETX8Q?start=195&end=225"""
11,Dodge Charger,/images/charger69.jpg,1969,The 1969 Dodge Charger is a classic example of the golden age of American muscle cars.,120,410,200,16,Muscle,FALSE,"""https://www.youtube.com/embed/ArZU0o1dlDk?start=39&end=66"""
12,Chevrolet Corvette C8,/images/corvette_c8_2020.jpg,2020,The newest mid-engine Corvette is the fastest model to date with head-turning looks we expect from a Corvette.,194,495,350,26,Sportscar,FALSE,"""https://www.youtube.com/embed/Cpd76oho3tw?start=74&end=104"""
13,Chevrolet Corvette Stingray,/images/1966_corvette.jpg,1966,"A classic American car, the same one driven by Apollo astronauts. Drive a piece of history.",100,240,400,18,Classic,FALSE,"""https://www.youtube.com/embed/fsZDmA0BfmU?start=7&end=37"""
14,Chevrolet Bel Air,/images/chevrolet_1957_belair.jpg,1957,"An American classic, the '57 Chevy.",80,175,400,18,Classic,FALSE,"""https://www.youtube.com/embed/JQIfSW7j5F8?start=54&end=78"""
15,McLaren 720s,/images/mclaren720s.jpg,2019,"The McLaren 720s is a supercar in its own right. Beautiful lines and breathtaking performance, this English speedster is without compromise.",212,710,750,18,Supercar,FALSE,"""https://www.youtube.com/embed/PasQcALPgE0?start=37&end=64"""
16,Rolls Royce Phantom,/images/rolls-royce-phantom.jpg,2019,"The Rolls-Royce Phantom is the embodiment quiet, comfort and safety without compromise.",155,563,700,14,Sedan,FALSE,"""https://www.youtube.com/embed/Q0_sNuA9VUk?start=14&end=30"""
17,Bentley Flying Spur,/images/bentley_flying_spur.jpg,2019,The Flying Spur by Bentley is a ,135,626,700,12,Sedan,FALSE,"""https://www.youtube.com/embed/K5hegk22kjk?start=51&end=73"""
18,Aston Martin Valhalla,/images/aston-valhalla.jpg,2021,The lastest from Aston-Martin: Reserve yours now!,230,1000,2300,14,Hypercar,FALSE,"""https://www.youtube.com/embed/rD_Tsf2pnu4?start=237&end=260"""
19,BMW i8,/images/bmw-i8.jpg,2020,Hybrid-electric supercar with roots in the autobahn.,145,430,1200,22,Supercar,FALSE,"""https://www.youtube.com/embed/AOH2CT8iVK8?start=80&end=110"" "
20,Koenigsegg Regera,/images/regera.jpg,2020,A robotic hybrid Swedish hypercar that lives up to the hype. ,255,1800,3000,24,Hypercar,FALSE,"""https://www.youtube.com/embed/E6aHQD1UqoQ?start=69&end=119"""